step,loss,Lseg,Lret,Lalign,lr
21201,2.4745011,0.03810509,2.43117,0.027305108,1.0e-6
21300,1.836669,0.035344925,1.7052525,0.019261152,0.00066034
21400,2.1045752,0.039010514,1.8559674,0.030662287,0.0009993437
21500,2.3443882,0.040850803,2.0603495,0.026844792,0.000993944
21600,1.6043037,0.032915212,1.4647756,0.025504526,0.0009831553
21700,2.037872,0.039837882,1.7652247,0.029232886,0.00096710876
21800,2.1974967,0.034551606,2.0885425,0.028850257,0.00094599905
21900,2.2199094,0.038724005,1.9500039,0.020525925,0.00092008244
22000,1.5843619,0.030345906,1.4176601,0.027383707,0.00088967354
22100,1.9533297,0.030740598,1.7279123,0.021988183,0.0008551415
22200,1.7145101,0.04255958,1.557934,0.017592143,0.0008169054
22201,2.0162623,0.037035815,1.9749749,0.027072657,1.0e-6
22300,1.7756978,0.03300633,1.5207282,0.025175104,0.0009999385
22400,1.737977,0.037861176,1.414999,0.027400479,0.0009910073
22500,1.7296975,0.03497899,1.6023645,0.028065689,0.00096723274
